C,1757958777.862,2,0
p1,1757958777.8177,-3.044,-41.78,-50.47,8.068
p1,1757958782.0474,3.423,-5.281,-28.85,23.55
p1,1757958782.0477,3.431,-2.53,-29.07,26.53
p1,1757958782.1185,3.432,-2.456,-31.24,28.78
p1,1757958782.1817,3.426,-5.314,-28.97,23.64
p1,1757958782.1819,3.433,-2.509,-30.01,27.5
p1,1757958782.2062,3.433,-2.451,-31.93,29.47
p1,1757958783.1124,-1.774,-42.38,-50.17,6.996
p1,1757958788.7934,-1.251,-38.46,-46.58,7.392
p1,1757958793.4337,-5.897,-44.83,-53.14,7.612
p1,1757958794.4137,3.888,-45.09,-52.25,6.224
p1,1757958794.4142,-2.629,-41.16,-52.28,10.78
p1,1757958794.4350,-2.241,-43.75,-51.09,6.448
p1,1757958795.4325,3.906,-43.67,-51.77,7.365
p1,1757958795.4345,2.239,-44.31,-51.78,6.613
p1,1757958795.5338,-4.08,-44.26,-51.41,6.213
p1,1757958800.3028,-2.994,-44.74,-52.19,6.592
p1,1757958801.5293,7.545,-44.42,-52.34,7.164
p1,1757958801.5306,-5.67,-45.14,-52.65,6.651
p1,1757958802.4282,5.948,-45.13,-52.32,6.262
p1,1757958802.5290,6.652,-44.53,-52.07,6.697
p1,1757958803.4285,-2.081,-43.6,-51.14,6.694
p1,1757958803.5280,7.569,-42.52,-49.92,6.527
p1,1757958804.4275,-5.201,-43.36,-50.34,6.011
p1,1757958806.5741,-3.16,-41.57,-52.22,10.26
p1,1757958806.6948,2.785,-3.09,-36.95,33.86
p1,1757958806.7655,2.789,-3.148,-37.95,34.8
p1,1757958806.8875,2.79,-3.187,-31.9,28.71
p1,1757958806.9704,2.791,-3.224,-31.99,28.76
p1,1757958807.8633,3.321,-2.51,-35.21,32.7
p1,1757958807.9096,3.34,-2.541,-34.51,31.97
p1,1757958808.0170,3.341,-2.447,-39.76,37.31
p1,1757958808.1047,3.344,-2.598,-30.4,27.79
C,1757958811.804,1,0
p1,1757958812.3344,-2.731,-40.01,-48.06,7.303
p1,1757958820.9139,3.411,-2.494,-32.43,29.93
p1,1757958820.9845,3.411,-2.449,-33.76,31.3
p1,1757958821.0478,3.416,-2.484,-33.75,31.27
p1,1757958821.0721,3.416,-2.537,-28.9,26.35
p1,1757958824.4945,-2.837,-41.96,-51.7,9.248
p1,1757958824.4950,-1.802,-40.17,-47.97,7.022
p1,1757958830.2546,2.381,-44.98,-52.2,6.317
G,1757958831,0,0,-17
C,1757958831.824,3,0
p1,1757958836.6532,2.909,-43.48,-52.66,8.625
p1,1757958843.2277,-1.375,-39.05,-48.09,8.462
p1,1757958845.1646,2.79,-3.174,-35.88,32.7
p1,1757958845.2352,2.791,-3.104,-37.89,34.79
p1,1757958845.3573,2.792,-3.197,-34.58,31.38
p1,1757958845.4403,2.79,-3.17,-34.06,30.89
p1,1757958846.3333,3.215,-2.714,-31.16,28.44
p1,1757958846.3795,3.22,-2.576,-41.25,38.67
p1,1757958846.4870,3.221,-2.622,-34.7,32.08
p1,1757958846.5747,3.221,-2.612,-36.55,33.93
p1,1757958849.2807,-3.086,-41.84,-51.88,9.585
C,1757958851.828,4,0
p1,1757958855.2147,3.076,-44.67,-52.09,6.549
p1,1757958859.4037,3.39,-2.478,-33.68,31.19
p1,1757958859.4744,3.392,-2.478,-32.88,30.4
p1,1757958859.5379,3.393,-2.454,-33.56,31.11
p1,1757958859.5624,3.404,-2.535,-31.87,29.33
p1,1757958861.3824,-3.342,-43.64,-51.13,6.641
p1,1757958867.3737,2.316,-42.16,-52.29,9.682
p1,1757958873.4762,-0.2004,-37.59,-46.04,7.781
p1,1757958873.4765,-2.993,-41.36,-51.94,10.19
p1,1757958884.0603,2.798,-3.195,-33.16,29.96
p1,1757958884.1309,2.802,-3.159,-38.16,35
p1,1757958884.2529,2.802,-3.164,-35.57,32.4
p1,1757958884.3359,2.802,-3.15,-36.19,33.04
p1,1757958885.2281,3.163,-2.757,-32.34,29.57
p1,1757958885.2746,3.164,-2.674,-40.37,37.69
p1,1757958885.3821,3.166,-2.798,-30.7,27.9
p1,1757958885.4699,3.166,-2.665,-40.93,38.26
p1,1757958891.6267,1.583,-41.03,-51.4,9.954
p1,1757958891.6272,1.545,-36.97,-46.5,9.021
