C,1757962862.616,2,0
p1,1757962866.0018,3.43,-19.15,-31.3,11.88
p1,1757962866.0726,3.419,-19.45,-31.1,11.34
p1,1757962866.1361,3.403,-19.46,-31.35,11.61
p1,1757962866.1606,3.404,-19.21,-31.53,12.06
G,1757962869,33.774148873,-84.397272291,324.913
p1,1757962890.7062,2.784,-19.96,-31.29,10.99
p1,1757962890.7771,2.771,-20.27,-31.16,10.52
p1,1757962890.8991,2.793,-20.26,-31.08,10.45
p1,1757962890.8993,2.796,-20.97,-30.92,9.491
p1,1757962890.9820,2.8,-21.21,-31.43,9.779
p1,1757962890.9823,2.807,-21.67,-31.65,9.529
p1,1757962891.8197,3.108,-19.43,-31.84,12.15
p1,1757962891.8663,3.126,-19.29,-31.31,11.73
p1,1757962891.9735,3.124,-19.33,-31.28,11.66
p1,1757962891.9737,3.123,-20.68,-31.47,10.41
p1,1757962892.0615,3.144,-19.57,-31.7,11.86
p1,1757962904.9001,3.42,-20.27,-31.7,11.11
p1,1757962904.9708,3.404,-22.37,-31.19,8.207
p1,1757962904.9710,3.428,-19.83,-31.21,11.05
p1,1757962905.0343,3.437,-19.84,-31.46,11.31
p1,1757962905.0588,3.403,-20.98,-31.42,10.02
p1,1757962929.2164,2.796,-10.24,-30.66,20.39
p1,1757962929.2871,2.799,-10.15,-31.29,21.11
p1,1757962929.4091,2.789,-10.12,-31.1,20.94
G,1757962929,33.774148873,-84.397272291,324.913
C,1757962929.547,5,0
p1,1757962929.4922,2.8,-10.32,-31.7,21.35
p1,1757962930.3295,3.111,-11.21,-31.36,20.1
p1,1757962930.3756,3.113,-11.17,-30.01,18.78
p1,1757962930.4831,3.109,-11.58,-30.86,19.23
p1,1757962930.5711,3.113,-12.17,-30.69,18.46
p1,1757962943.4105,3.406,-15.29,-29.73,14.28
p1,1757962943.4814,3.443,-15.21,-30.78,15.45
p1,1757962943.5447,3.424,-14.59,-30.63,15.93
p1,1757962943.5692,3.437,-15.07,-31.03,15.85
p1,1757962968.1121,2.811,-13.18,-31.82,18.58
p1,1757962968.1829,2.815,-13.23,-30.68,17.37
