"proj","id","tagFreq","fcdFreq","g1","g2","g3","bi","dfreq","g1.sd","g2.sd","g3.sd","bi.sd","dfreq.sd","filename","codeset"
975,"127","166.380","166.376",46.381,107.412,87.883,38.8951988220215,0.00039999998989515,0.00199999999999889,0,0.00200000000000244,0,"0.0","motus download","Lotek6M"
975,"233","166.380","166.376",70.795,63.471,24.411,38.8953018188477,-9.99999974737875e-05,0.00200000000000244,0.00199999999999889,0.00199999999999889,0,"0.0","motus download","Lotek6M"
975,"243","166.380","166.376",70.796,122.06,83,38.8958015441895,-0.000600000028498471,0,0,0,0,"0.0","motus download","Lotek6M"
